id,latitude,longitude,name,population,ano,kdu-csl,top-09,kscm,cssd,jobbik,fidesz-kdnp
praha,50.0596288,14.4464592733,Praha,1268796,0,0,1,0,0,0,0
brno-mesto,49.191596,16.6111292,Brno-město,385913,0,-1,1,0,0,0,0
ostrava-mesto,49.8046309,18.2342778123,Ostrava-město,326018,0,0,0,0,0,0,0
karvina,49.8542719,18.5416556,Karviná,256394,0,0,0,0,1,0,0
olomouc,49.85911765,16.9561108969,Olomouc,230408,0,0,0,0,0,0,0
frydek-mistek,49.685635,18.3483416,Frýdek-Místek,207756,0,0,0,0,0,0,0
brno-venkov,49.1761559,16.3881798326,Brno-venkov,206300,0,0,0,0,0,0,0
zlin,49.19692,17.6460916358,Zlín,190488,0,0,0,0,0,0,0
plzen-mesto,49.71400165,13.423688628,Plzeň-město,188045,0,0,1,0,0,0,0
ceske-budejovice,48.9747357,14.474285,České Budějovice,186462,0,0,1,0,0,0,0
opava,49.9324379,17.9011842152,Opava,174899,0,0,0,0,0,0,0
liberec,50.7702648,15.0583947,Liberec,169878,0,0,1,0,0,0,0
pardubice,50.0410187,15.7765409,Pardubice,168423,1,1,0,0,0,0,0
hradec-kralove,50.2094963,15.832719,Hradec Králové,162661,0,0,1,0,0,0,0
kladno,50.1478497,14.1025379,Kladno,158799,0,0,0,0,0,0,0
praha-vychod,50.0828112,14.7192179487,Praha-východ,157146,1,1,1,0,0,0,0
hodonin,49.8368708,15.7866863,Hodonín,153225,0,0,0,0,0,0,0
novy-jicin,49.5947705,18.0103694,Nový Jičín,148074,0,0,0,0,0,0,0
vsetin,49.3389775,17.9961534,Vsetín,142420,0,0,0,0,0,0,0
uherske-hradiste,49.0681068,17.4663639,Uherské Hradiště,141467,0,0,0,0,0,0,0
usti-nad-orlici,49.9737051,16.3940676,Ústí nad Orlicí,136760,0,0,1,0,0,0,0
praha-zapad,49.99844205,14.2634282909,Praha-západ,131231,-1,0,1,0,0,0,0
prerov,49.4553775,17.4508621,Přerov,130082,0,0,0,0,0,0,0
decin,50.7824196,14.2147221,Děčín,128834,0,0,0,-1,0,0,0
teplice,50.6406644,13.8244461,Teplice,125498,0,0,0,0,0,0,0
mlada-boleslav,50.4116187,14.9031301,Mladá Boleslav,123659,0,0,0,0,0,0,0
chomutov,50.44133455,13.4469573,Chomutov,122157,0,0,0,-1,0,0,0
sumperk,49.9655521,16.9705651,Šumperk,121299,0,0,0,0,0,0,0
usti-nad-labem,50.6684322,14.0408798,Ústí nad Labem,118228,0,0,0,0,0,0,0
trutnov,50.5608851,15.9130498,Trutnov,118174,0,0,0,0,0,0,0
litomerice,50.5340795,14.1317985,Litoměřice,117278,0,0,0,0,0,0,0
zdar-nad-sazavou,49.5629014,15.9391924,Žďár nad Sázavou,117219,0,0,0,0,0,0,0
karlovy-vary,50.2304694,12.8710769,Karlovy Vary,115446,0,0,0,0,0,0,0
breclav,48.7594008,16.8813137,Břeclav,112828,0,0,0,0,0,0,0
pribram,49.6901444,14.0103663,Příbram,112816,0,0,0,0,0,0,0
most,50.5032737,13.636112,Most,111775,0,0,0,0,0,0,0
trebic,49.2151907,15.8816091,Třebíč,111693,0,0,0,0,0,0,0
znojmo,48.8554341,16.0489457,Znojmo,111380,0,0,0,0,-1,0,0
jihlava,49.396064,15.5903065,Jihlava,110522,0,0,0,0,0,0,0
nachod,50.4169725,16.1628404,Náchod,109550,0,0,0,0,0,0,0
prostejov,49.4721467,17.1117979,Prostějov,107859,0,0,0,0,0,0,0
blansko,49.3634438,16.6434481,Blansko,105708,0,0,0,0,1,0,0
kromeriz,49.2984191,17.3929804,Kroměříž,105569,0,0,0,0,0,0,0
melnik,50.3507641,14.4740503,Mělník,104659,0,0,1,0,0,0,0
svitavy,49.7562053,16.4688995,Svitavy,103245,0,0,0,0,-1,0,0
chrudim,49.9511458,15.7947559,Chrudim,103199,1,1,0,0,0,0,0
tabor,49.4140896,14.6584713,Tábor,101115,0,0,0,0,0,0,0
ceska-lipa,50.6865452,14.5372974,Česká Lípa,100756,0,0,0,-1,0,0,0
kolin,50.0288894,15.2011571,Kolín,96001,0,0,0,0,0,0,0
benesov,49.7818921,14.6869121,Benešov,95459,0,0,0,0,0,0,0
nymburk,50.186331,15.0417306,Nymburk,94884,-1,0,0,0,0,0,0
havlickuv-brod,49.607079,15.5794883,Havlíčkův Brod,94217,0,0,0,0,0,0,0
bruntal,49.9887133,17.4646617,Bruntál,92693,0,0,0,0,0,0,0
jindrichuv-hradec,49.1443265,15.003354,Jindřichův Hradec,90604,0,0,0,0,0,0,0
cheb,50.0793511,12.3703526,Cheb,90188,0,0,0,-1,0,0,0
sokolov,50.1815641,12.640035,Sokolov,89961,0,0,0,-1,0,0,0
jablonec-nad-nisou,50.7240899,15.1710958,Jablonec nad Nisou,88200,0,0,1,0,0,0,0
vyskov,49.2778194,16.9994446,Vyškov,88154,0,0,0,0,1,0,0
beroun,49.9640292,14.0733907,Beroun,86160,-1,0,1,0,0,0,0
klatovy,49.3951096,13.2935526,Klatovy,85726,0,0,0,0,0,0,0
louny,50.3576477,13.7973796,Louny,85191,0,0,0,1,0,0,0
jicin,50.4375086,15.3515976,Jičín,79702,0,0,1,0,0,0,0
rychnov-nad-kneznou,50.1631069,16.274837,Rychnov nad Kněžnou,77829,0,0,0,0,0,0,0
plzen-sever,49.8814234,13.2812881231,Plzeň-sever,74940,0,0,0,0,0,0,0
semily,50.602249,15.33526,Semily,73605,0,0,1,0,0,0,0
kutna-hora,49.9486561,15.2681123,Kutná Hora,73404,0,0,0,0,0,0,0
pelhrimov,49.4317154,15.2233722,Pelhřimov,71914,0,-1,0,0,1,0,0
pisek,49.3089887,14.147769,Písek,69843,0,0,1,0,0,0,0
strakonice,49.2616735,13.9023123,Strakonice,69786,0,0,0,0,0,0,0
plzen-jih,49.7477415,13.3775249,Plzeň-jih,62389,0,0,0,0,0,0,0
cesky-krumlov,48.8111744,14.3151514,Český Krumlov,60516,0,0,0,0,0,0,0
domazlice,49.4407069,12.9298338,Domažlice,59926,0,0,0,-1,0,0,0
rakovnik,50.1039674,13.7333385,Rakovník,54993,0,0,0,1,0,0,0
tachov,49.7955449,12.6335852,Tachov,51917,0,0,0,-1,0,0,0
prachatice,49.0131904,13.9974631,Prachatice,50010,0,0,0,0,0,0,0
rokycany,49.7429636,13.5945245,Rokycany,47458,0,0,0,0,0,0,0
jesenik,50.2296385,17.2046012,Jeseník,38779,0,0,0,0,0,0,0
