county_code,unemployment,0-14,65-,no-education,primary,tertiary,religious,kan,zeleni,svobodni,pb,kdu-csl,suverenita,lev,spoz,non-voters,kscm,ano,hlavu-vzhuru,soukromnici,pirati,ods,usvit,dsss,zmena,aneo,kc,obcane-2011,cssd,rds,top-09
kutna-hora,10.48,0.138,0.164,0.005514125,0.1835145042,0.0899481767,0.1066835595,0,0.0129483872,0.0129155233,0,0.0264883251,0.0021032913,0.0003943671,0.0072629278,0.397029101,0.1028476593,0.1140542583,0.0046666776,0.0014953087,0.0160375963,0.0397982155,0.0433639516,0.0037136237,0.0021854511,0.0002957753,0.0013145571,0,0.1518970702,0.0004765269,0.0587114054
klatovy,9.07,0.141,0.165,0.0033317015,0.188805483,0.0897111619,0.1417306301,0,0.0117074675,0.0106558986,0,0.0401278708,0.0025237655,0.0006449623,0.0058747651,0.4047699167,0.0970948655,0.1067973416,0.0018788032,0.0018227195,0.0196713497,0.0634166176,0.0323322397,0.0057906396,0.0031687277,0,0.001570343,0,0.1266089005,0,0.0635428059
kromeriz,11.59,0.137,0.162,0.0053706638,0.1845395316,0.1029230498,0.2264111624,0,0.0115599737,0.0135866489,0,0.060766287,0.0013813093,0.0004189217,0.013269627,0.3887253459,0.1038359639,0.1141391726,0.0014832092,0.0010416431,0.0103937864,0.0307171486,0.0701523969,0.0042231834,0.0013360205,0,0.0016530423,0,0.1300921628,0,0.0412241571
louny,13.29,0.154,0.14,0.0083875433,0.2220207612,0.075266436,0.0601824136,0,0.0109770894,0.0113054029,0,0.0109770894,0.0019556063,0.0010848619,0.0083648562,0.4635072443,0.1288987224,0.107701092,0.0019841553,0.0029262722,0.0116622654,0.0328884448,0.0390550282,0.0083077582,0.0023695668,0,0.0012847049,0,0.1115694811,0,0.0431803583
mlada-boleslav,5.07,0.146,0.143,0.0043830585,0.1670863548,0.0918738285,0.0653894985,0,0.0199960029,0.0135901293,0,0.0155676403,0.0030714534,0.0004312657,0.0051962259,0.4099759122,0.0809306924,0.1202600217,0.003828798,0.0017250628,0.0154729723,0.0660678034,0.0473130042,0.0046702921,0.002629669,0.0003997097,0.0011149796,0,0.1177250208,0.000357635,0.0696757092
ostrava-mesto,12.77,0.141,0.158,0.0051911985,0.1864131596,0.1435626291,0.1256771099,0,0.0148420175,0.0105854951,0,0.0288171035,0.0008297242,0.0003237041,0.0114114986,0.4643330208,0.0931672397,0.0978590883,0.0052499591,0.000621363,0.0128625858,0.0322736676,0.0407011356,0.0084758375,0.00287985,0,0.0008966975,0,0.136681252,0,0.0371887604
brno-venkov,8.24,0.156,0.156,0.0031695357,0.1754498788,0.1258340128,0.2061221522,0,0.0185218572,0.0164605344,0,0.066737581,0.0012019375,0.0003004844,0.0094532386,0.3609899157,0.091689804,0.1154641282,0.0017608385,0.0014303057,0.0152886453,0.0426868111,0.0419115614,0.0045192851,0.0018449741,0,0.0012379956,0,0.1392745105,0,0.0692255917
ceska-lipa,11.87,0.158,0.125,0.0066792883,0.2042592222,0.0688507626,0.05151058,0,0.0144652881,0.0107829967,0,0.0108909466,0.0020630427,0.0004078108,0.006321067,0.4853667898,0.1009571559,0.1085736218,0.0025907979,0.0017271986,0.0172839802,0.0291944538,0.0434918198,0.006872811,0.0064769947,0,0,0,0.0995777959,0.0009235715,0.0520318572
chrudim,10.26,0.147,0.16,0.0063603117,0.1870385935,0.0849555914,0.1505537844,0.0008260562,0.0129218787,0.0136299268,0,0.0476162379,0.0024073637,0.0003186217,0.0157186689,0.3806348832,0.1009912674,0.1391550625,0.0022185509,0.0016875148,0.0156832665,0.0407009677,0.0388600425,0.0060302101,0.0025371725,0,0.0007080481,0,0.1237904177,0,0.0535638423
pardubice,7.16,0.14,0.165,0.0029493037,0.1519235937,0.1271370393,0.0936867292,0.0007319113,0.0189400729,0.0167069965,0,0.0306581227,0.0015907869,0.0005003884,0.0111579136,0.3772256079,0.0865149071,0.1387420087,0.0022778873,0.0028529605,0.0163634463,0.0479327239,0.0382012906,0.005474398,0.003958296,0,0.0008588755,0,0.1239917548,0,0.0753196511
prachatice,7.54,0.151,0.142,0.0061236987,0.2001036318,0.0852136229,0.15064987,0,0.012025012,0.0137085137,0,0.0415343915,0.0017556518,0.0001683502,0.0064213564,0.4338864839,0.102982203,0.0874939875,0.0021164021,0.0028379028,0.0129389129,0.0505531506,0.0416065416,0.0055555556,0.0032227032,0,0.0012506013,0,0.1187830688,0,0.0611592112
havlickuv-brod,10.06,0.144,0.163,0.0048322347,0.1769836943,0.0877608168,0.1704363331,0,0.0172335894,0.0112050603,0,0.0539340347,0.002078358,0.0002839992,0.0100690634,0.3726069838,0.110785516,0.1078164332,0.0016394501,0.0021041761,0.0144323243,0.0516104047,0.0368295359,0.0035758084,0.0021041761,0.0006454528,0,0,0.144607242,0,0.0564383915
hodonin,14.92,0.135,0.157,0.0036543292,0.2158702297,0.086652241,0.3101647903,0,0.0106727713,0.0113146843,0,0.0830852043,0.0012451566,0.0002010812,0.0195744812,0.4151089319,0.0923504072,0.0964957734,0.001361165,0.0012451566,0.013132149,0.0309201012,0.0462100061,0.0033178398,0.0022814982,0,0.0015390446,0,0.1318628626,0,0.0380816854
znojmo,15.13,0.146,0.144,0.0077753462,0.2295042296,0.078595177,0.1768360567,0,0.0096777347,0.0104923588,0,0.0480954088,0.0012382287,0.0004996361,0.0089934504,0.4333148685,0.1142754733,0.1041089641,0.0009884106,0.000977549,0.0112526747,0.0299564448,0.0402532938,0.0033671131,0.0020202678,0,0.0008689324,0,0.1438626218,0,0.0357565686
teplice,12.97,0.154,0.142,0.00762615,0.2224699732,0.0717645075,0.0511004159,0,0.0145547945,0.0098264321,0,0.010439368,0.001936099,0.0010021015,0.0079195205,0.5148077522,0.0953358499,0.0970481787,0.0023739103,0.0016928705,0.0106047634,0.0335168898,0.0377101494,0.0136597136,0.0031619707,0,0.0010312889,0,0.0990231943,0,0.0443551526
nymburk,9.32,0.159,0.153,0.0037243948,0.168535113,0.1016209866,0.0919122297,0,0.0213415443,0.0163379609,0,0.0241419584,0.0025880604,0.0003450747,0.0063042497,0.4012820853,0.0832824569,0.1275183819,0.0033445704,0.0019111831,0.0152496483,0.0515223104,0.0423645582,0.0048310461,0.0022297136,0.0003981631,0.0019775436,0,0.1163299976,0.0005441563,0.0761553367
plzen-jih,5.76,0.145,0.159,0.0066904633,0.20177914,0.0745482068,0.0813604962,0,0.0125448029,0.0121622166,0,0.0219282349,0.0017518425,0.0019129314,0.006201925,0.4172405461,0.1015263179,0.1128025452,0.0018525231,0.002517015,0.016753252,0.0588578793,0.0308888083,0.0065643752,0.003845999,0,0.0013893923,0,0.1351737747,0,0.0540856188
domazlice,7.75,0.149,0.147,0.0040049473,0.2039774624,0.0694779826,0.1313620131,0,0.0095532859,0.0085835139,0,0.0330960487,0.0017744764,0.0009904054,0.0048075931,0.4485505004,0.0960693284,0.0907046322,0.0034045187,0.002723615,0.0152687506,0.0648715568,0.0339832869,0.0061075003,0.0018776437,0,0.0012999071,0,0.1292891778,0,0.0470442587
rakovnik,9.42,0.14,0.152,0.0069610478,0.1962423037,0.0829401435,0.0520975397,0,0.0241126456,0.0127985964,0,0.0120113365,0.0029466013,0.0002924108,0.006612983,0.4150659049,0.1181339691,0.1113185478,0.0031715327,0.0019569031,0.0164649782,0.040600117,0.0368212695,0.0044986279,0.0018669306,0.0002699177,0.0013270952,0,0.1343065365,0.0005848216,0.0548382743
karvina,14.43,0.138,0.155,0.0058048115,0.2133778021,0.0919208443,0.1668759799,0,0.0092868309,0.0065324202,0,0.0259714881,0.0008514479,0.000600201,0.0147909998,0.4820963299,0.1121817539,0.0827998213,0.0021449043,0.0006048537,0.0116829822,0.0215141815,0.0354676915,0.0053134073,0.0017633812,0,0.0008607534,0,0.1644969478,0,0.021039604
jicin,8.36,0.141,0.163,0.0040696063,0.1786834313,0.0861327071,0.0859702391,0,0.0170233088,0.0152362466,0,0.030056539,0.0022184221,0.0005700112,0.0072406834,0.3892406526,0.0912326108,0.1317496264,0.0021105822,0.0017562509,0.0152208408,0.039330776,0.0513164179,0.0054536211,0.0043290043,0.0008319083,0,0,0.1143411748,0,0.0807413227
nachod,8.1,0.151,0.167,0.0043213725,0.1878184594,0.0824285684,0.1399817435,0,0.0168411722,0.014724946,0,0.0626890477,0.0023821395,0.0008974572,0.005196388,0.4074455709,0.0710320758,0.1132568833,0.0018946319,0.0018059941,0.0132956623,0.0404631322,0.0500249294,0.0050966705,0.0040108581,0.0004764279,0,0,0.1147526453,0,0.0737133677
praha,6.67,0.128,0.164,0.0022077272,0.1016227064,0.2360815442,0.109556619,0,0.0411013442,0.0237736475,0.0013288943,0.0347692985,0.0008656797,0.0004078892,0.0058872729,0.3637481979,0.0542134627,0.1047537532,0.002810747,0.000800591,0.0231357783,0.076346875,0.0203488971,0.0026827392,0.0047742561,0.0002126231,0.0013071981,0.0004935893,0.0896792103,0,0.1465580553
zlin,8.76,0.14,0.165,0.0031404848,0.1841827102,0.1278311714,0.2733768006,0,0.0146642752,0.0165399384,0,0.0790557268,0.0012441267,0.0002589299,0.0198744506,0.3767114636,0.0665702521,0.1175668166,0.0024882534,0.0012378113,0.0128959733,0.0343429495,0.0651745567,0.0024819381,0.0020209165,0,0.0014209569,0,0.1149017329,0,0.0705489314
decin,14.77,0.155,0.141,0.0103194148,0.2249228111,0.0617418952,0.0513839514,0,0.0115486361,0.011131444,0,0.0132363678,0.0024178179,0.0004361554,0.0070922658,0.4843315919,0.0942000815,0.113798629,0.0033280552,0.0013558743,0.0139948989,0.0310618487,0.0417571373,0.012468355,0.0065518124,0,0.0010998701,0,0.1084794296,0,0.0417097291
kolin,10.28,0.149,0.16,0.0053879047,0.180855223,0.0891386683,0.0799783336,0,0.0169873819,0.0157887275,0,0.0240246433,0.0019204248,0.0006444379,0.0088932424,0.4062020699,0.0986247696,0.1208320982,0.0028870816,0.0015595396,0.014860737,0.0421333471,0.0456262003,0.0045883975,0.002229755,0.0004124402,0.0015724284,0,0.1239898437,0.000425329,0.0657971052
jihlava,9.19,0.147,0.153,0.0036306503,0.1784963587,0.0988980658,0.1828866651,0,0.0227345079,0.0145232999,0,0.0600472035,0.002272353,0.0006257204,0.0105823591,0.3857401614,0.0981722378,0.0896426807,0.0020967122,0.0013063286,0.0170920468,0.0440638893,0.0511663648,0.0054448653,0.0035347714,0.0008013612,0,0,0.1268346232,0,0.0633185136
litomerice,11.55,0.151,0.152,0.0076857728,0.1969516766,0.0833741442,0.0638397653,0,0.0153652525,0.0144108239,0,0.0173055745,0.0021920394,0.0005453878,0.0082227699,0.438911322,0.1157795375,0.1110493471,0.0027793801,0.0020661807,0.0141066653,0.0422780429,0.0388693691,0.007719335,0.0030206094,0,0.0017200692,0,0.1068960092,0,0.0567622843
uherske-hradiste,10.26,0.139,0.164,0.0054839346,0.2043361726,0.1057240109,0.3778124934,0,0.012299966,0.0134916582,0,0.0993445693,0.0010640109,0.000289411,0.0185308138,0.3796986721,0.0902451481,0.0937180797,0.0015406878,0.0013619339,0.0120956759,0.0345846101,0.0596782431,0.0029366701,0.0013193735,0,0.0011661559,0,0.1220973783,0,0.0545369425
tachov,10.68,0.15,0.125,0.0068851867,0.2361280419,0.0577001219,0.0676271741,0,0.0130076601,0.0073228309,0,0.0180421063,0.0032278268,0.0004335887,0.0047212988,0.4989160283,0.1166353519,0.0852242617,0.0016861782,0.0011803247,0.0168617816,0.0393602158,0.0334826805,0.0066965361,0.0016139134,0,0.0015657369,0,0.116177675,0,0.0338440044
kladno,9.2,0.151,0.154,0.0056017654,0.1882311263,0.103259947,0.05946511,0,0.018942402,0.0164587907,0,0.014956167,0.0017673347,0.000303639,0.0058547827,0.4388673487,0.1007069339,0.1129459211,0.0038071659,0.0013313402,0.0150106663,0.0453278523,0.0338284985,0.0062284922,0.00202426,0.000404852,0.0013235546,0,0.113919123,0.0002802822,0.0657105931
novy-jicin,9.67,0.15,0.144,0.0041460756,0.1894780401,0.1004846372,0.1724678201,0,0.0161155719,0.0118132247,0,0.0546260361,0.0016123674,0.0004618339,0.0089693002,0.4213059366,0.0890691211,0.1091872534,0.0023415788,0.0011019194,0.0154997934,0.0360797595,0.0482494875,0.0050558657,0.0026170587,0,0.0010857147,0,0.1361356657,0,0.0386725112
zdar-nad-sazavou,10.62,0.15,0.156,0.0036690054,0.1854305301,0.1022396011,0.3200419727,0,0.0136551582,0.0126628075,0,0.0892908828,0.0013748191,0.0002790986,0.0184205086,0.3506305561,0.100031011,0.1011680794,0.001447178,0.0015195369,0.0135827993,0.0419268141,0.0383088691,0.0037833368,0.0037316519,0.0005168493,0,0,0.1537523258,0,0.0539177176
brno-mesto,8.93,0.131,0.179,0.0026398857,0.1289921219,0.2363454954,0.1680482389,0,0.0317166814,0.0206736264,0,0.0519601423,0.0006388279,0.0002503949,0.0079131194,0.4011389756,0.0614655161,0.1032814567,0.0015312608,0.000808968,0.0169915379,0.0568492623,0.0316556878,0.0031491968,0.0020545219,0,0.0009309552,0,0.1243980893,0,0.0825917793
karlovy-vary,10.14,0.139,0.156,0.007756826,0.2016474498,0.0849547602,0.0725707257,0,0.0121063045,0.0100422437,0,0.0198171221,0.00208545,0.00097321,0.0068124699,0.4590449709,0.0797390514,0.1203144217,0.0020105877,0.0017646115,0.0162772044,0.0406502326,0.0435805572,0.0071546976,0.0018715577,0,0.0012940484,0,0.1046040319,0,0.0698572269
praha-zapad,4.44,0.185,0.124,0.0030377577,0.1296544784,0.2080398077,0.0949775587,0,0.0349356006,0.0224240256,0,0.0286219379,0.0015047563,0.0003472515,0.00717653,0.3264689789,0.058706541,0.1365960939,0.0039776075,0.0019151444,0.0199722199,0.0755955889,0.0304529001,0.0033462413,0.0031989225,0.0003788198,0.0014310969,0,0.0779947807,0.0003472515,0.1646077111
breclav,11.45,0.14,0.148,0.0053353659,0.2244973632,0.0854070534,0.2134044741,0,0.0124256987,0.0140171156,0,0.0542451836,0.0007166646,0.0002950972,0.0080413979,0.43808229,0.0939146748,0.1066460099,0.0014333291,0.0021394545,0.0117406517,0.034694996,0.042799629,0.0031617554,0.001770583,0,0.0010644577,0,0.128282956,0,0.0445280553
